Geocode,business_id,name,address,city,state,postal_code,latitude,longitude,Score,Income
6037211120,PR0017270,YOGURTLAND,3183 WILSHIRE BLVD # #181,LOS ANGELES,CA,90010,34.06183783,-118.2906597,96,47657
6037124400,PR0017272,SCHWARTZ BAKERY,12522 BURBANK BLVD ,VALLEY VILLAGE,CA,91607,34.17196905,-118.4060724,98,96479
6037273700,PR0017273,DEUS COFFEE,2318 S LINCOLN BLVD ,VENICE,CA,90291,33.99437317,-118.4529997,98,157361
6037800504,PR0017295,THE COFFEE BEAN & TEA LEAF,3835 CROSS CREEK RD # #7,MALIBU,CA,90265,34.03591519,-118.6854318,96,281399
6037406702,PR0017387,WYATT SNACK SHOP,1427 W WEST COVINA PKWY STE 121,WEST COVINA,CA,91790,34.07020484,-117.9388288,96,78755
6037206020,PR0017472,BEN & JERRY'S KIOSK,800 N ALAMEDA ST #K4,LOS ANGELES,CA,90012,34.05642392,-118.2374169,97,97292
6037700901,PR0017479,TOPPINGS YOGURT,349 S ROBERTSON BLVD ,BEVERLY HILLS,CA,90211,34.0608222,-118.3838702,94,146013
6037135202,PR0017609,STARBUCKS CORPORATION,6516 PLATT AVE ,WEST HILLS,CA,91307,34.18849021,-118.6424528,99,119383
6037300301,PR0017638,VONS STARBUCKS #2598,3233 FOOTHILL BLVD ,LA CRESCENTA,CA,91214,34.23067296,-118.2493849,97,124515
6037209402,PR0017639,EL NACO BAR,1912 W 7TH ST ,LOS ANGELES,CA,90057,34.05550373,-118.2750395,94,29006
6037310701,PR0017739,AMC BURBANK TOWN CENTER 6,770 N FIRST ST ,BURBANK,CA,91502,34.18472427,-118.3155145,91,54553
6037190510,PR0017752,STARBUCKS COFFEE,5545 W SUNSET BLVD ,LOS ANGELES,CA,90028,34.09825774,-118.3110581,97,46552
6037408625,PR0017784,STARBUCKS COFFEE,2122 S HACIENDA BLVD ,HACIENDA HEIGHTS,CA,91745,33.99523623,-117.9681035,95,113134
6037207502,PR0017802,BONAVENTURE BREWING CO BAR,404 S FIGUEROA ST STE 418A,LOS ANGELES,CA,90071,34.05321579,-118.2560102,93,70271
6037135203,PR0017841,COFFEE BEAN & TEA LEAF,6401 PLATT AVE STE #1,WEST HILLS,CA,91307,34.18702198,-118.642793,95,120166
